montant,nb_achats,recence,satisfaction
141.9,1,115.92,5.0
27.19,1,118.91,4.0
86.22,1,541.46,3.0
43.62,1,325.53,4.0
196.89,1,292.51,5.0
166.98,1,150.57,4.0
35.379999999999995,1,135.84,4.0
209.59,2,186.87,1.0
150.12,1,547.36,4.0
129.76,1,174.7,1.0
29.0,1,411.99,3.0
126.26,1,287.7,5.0
63.66,1,162.72,5.0
82.05,1,132.97,4.0
91.28,1,387.81,4.0
46.85,2,338.76,4.5
29.0,1,264.38,5.0
36.68,1,238.38,5.0
100.21,2,381.58,2.0
78.42,1,69.97,3.0
27.75,1,12.9,5.0
20.75,1,105.7,5.0
139.01,4,38.97,5.0
325.93,1,418.91,1.0
61.8,1,181.62,4.0
106.08,2,367.66,4.0
76.11,1,589.42,4.0
297.14,1,496.81,3.0
192.83,1,431.92,5.0
117.94,1,393.79,5.0
155.65,1,320.72,1.0
99.82,1,227.47,5.0
37.41,2,31.61,5.0
122.07,1,37.36,4.0
58.86,1,501.9,3.0
28.33,2,381.84,4.0
135.28,2,9.49,2.0
37.58,1,36.98,5.0
27.0,1,192.54,3.0
87.71000000000001,1,204.3,1.0
197.27,1,124.99,5.0
36.73,1,430.43,4.0
161.71,1,53.55,5.0
24.23,1,105.32,5.0
135.07999999999998,1,268.86,5.0
63.33,1,72.71,4.0
35.84,1,532.56,3.0
237.81,1,525.68,4.0
124.32,1,67.9,5.0
107.44,1,158.55,3.0
92.18,1,25.52,5.0
57.73,1,93.64,3.0
113.79,2,40.92,1.0
46.78,1,161.89,5.0
354.87,1,263.68,3.0
118.2,1,239.33,5.0
128.94,2,310.78,3.0
52.38,1,304.78,2.0
217.74,1,187.8,1.0
97.12,2,329.38,3.0
64.42,1,578.76,2.0
38.09,1,271.54,5.0
228.67,1,306.61,1.0
28.76,1,230.56,4.0
130.56,1,468.45,5.0
52.38,1,143.92,5.0
137.99,1,407.82,5.0
109.79,1,215.76,5.0
114.04,1,200.47,4.0
77.57,1,308.82,1.0
62.47,1,370.48,5.0
